00 Die
01 Revive
02 AttackOutofRange
03 AttackinCoolTime
04 AttackDeadTarget
05 SpawnItem
08 DeleteObject
09 CharacterSelectionInfo
0A LoginFail
0B CharacterSelected
0C NpcInfo
0D NewCharacterSuccess
0E NewCharacterFail
0F CharacterCreateSuccess
10 CharacterCreateFail
11 ItemList
12 SunRise
13 SunSet
14 TradeStart
15 TradeStartOk
16 DropItem
17 GetItem
18 StatusUpdate
19 NpcHtmlMessage
1A TradeOwnAdd
1B TradeOtherAdd
1C TradeDone
1D CharacterDeleteSuccess
1E CharacterDeleteFail
1F ActionFail
20 ServerClose
21 InventoryUpdate
22 TeleportToLocation
23 TargetSelected
24 TargetUnselected
25 AutoAttackStart
26 AutoAttackStop
27 SocialAction
28 ChangeMoveType
29 ChangeWaitType
2A ManagePledgePower
2B CreatePledge
2C AskJoinPledge
2D JoinPledge
2E VersionCheck
2F MoveToLocation
30 NpcSay
31 CharInfo
32 UserInfo
33 Attack
34 WithdrawalPledge
35 OustPledgeMember
36 SetOustPledgeMember
37 DismissPledge
38 SetDismissPledge
39 AskJoinParty
3A JoinParty
3B WithdrawalParty
3C OustPartyMember
3D SetOustPartyMember
3E DismissParty
3F SetDismissParty
40 UserAck
41 WareHouseDepositList
42 WareHouseWithdrawList
43 WareHouseDone
44 ShortCutRegister
45 ShortCutInit
46 ShortCutDelete
47 StopMove
48 MagicSkillUse
49 MagicSkillCanceled
4A Say2
4B EquipUpdate
4C DoorInfo
4D DoorStatusUpdate
4E PartySmallWindowAll
4F PartySmallWindowAdd
50 PartySmallWindowDeleteAll
51 PartySmallWindowDelete
52 PartySmallWindowUpdate
53 TradePressOwnOk
54 MagicSkillLaunched
55 FriendAddRequestResult
56 FriendAdd
57 FriendRemove
58 FriendList
59 FriendStatus
5A PledgeShowMemberListAll
5B PledgeShowMemberListUpdate
5C PledgeShowMemberListAdd
5D PledgeShowMemberListDelete
5E MagicList
5F SkillList
60 VehicleInfo
61 FinishRotating
62 SystemMessage
63 StartPledgeWar
64 ReplyStartPledgeWar
65 StopPledgeWar
66 ReplyStopPledgeWar
67 SurrenderPledgeWar
68 ReplySurrenderPledgeWar
69 SetPledgeCrest
6A PledgeCrest
6B SetupGauge
6C VehicleDeparture
6D VehicleCheckLocation
6E GetOnVehicle
6F GetOffVehicle
70 TradeRequest
71 RestartResponse
72 MoveToPawn
73 SSQInfo
74 GameGuardQuery
75 L2FriendList
76 L2Friend
77 L2FriendStatus
78 L2FriendSay
79 ValidateLocation
7A StartRotating
7B ShowBoard
7C ChooseInventoryItem
7D Dummy_7D
7E MoveToLocationInVehicle
7F StopMoveInVehicle
80 ValidateLocationInVehicle
81 TradeUpdate
82 TradePressOtherOk
83 FriendAddRequest
84 LogOutOk
85 AbnormalStatusUpdate
86 QuestList
87 EnchantResult
88 PledgeShowMemberListDeleteAll
89 PledgeInfo
8A PledgeExtendedInfo
8B SurrenderPersonally
8C Ride
8D GiveNickNameDone
8E PledgeShowInfoUpdate
8F ClientAction
90 AcquireSkillList
91 AcquireSkillInfo
92 ServerObjectInfo
93 GMHide
94 AcquireSkillDone
95 GMViewCharacterInfo
96 GMViewPledgeInfo
97 GMViewSkillInfo
98 GMViewMagicInfo
99 GMViewQuestInfo
9A GMViewItemList
9B GMViewWarehouseWithdrawList
9C ListPartyWaiting
9D PartyRoomInfo
9E PlaySound
9F StaticObject
A0 PrivateStoreSellManageList
A1 PrivateStoreSellList
A2 PrivateStoreSellMsg
A3 ShowMinimap
A4 ReviveRequest
A5 AbnormalVisualEffect
A6 TutorialShowHtml
A7 ShowTutorialMark
