00 SendLogOut
01 RequestAttack
03 RequestStartPledgeWar
04 RequestReplyStartPledgeWar
05 RequestStopPledgeWar
06 RequestReplyStopPledgeWar
07 RequestSurrenderPledgeWar
08 RequestReplySurrenderPledgeWar
09 RequestSetPledgeCrest
0B RequestGiveNickName
0C RequestCharacterCreate
0D RequestCharacterDelete
0E SendProtocolVersion
0F MoveBackwardToLocation
10 Say
11 RequestEnterWorld
12 RequestGameStart
13 RequestNewCharacter
14 RequestItemList
15 RequestEquipItem
16 RequestUnEquipItem
17 RequestDropItem
19 RequestUseItem
1A RequestTrade
1B RequestAddTradeItem
1C TradeDone
1F Action
22 RequestLinkHtml
23 RequestBypassToServer
24 RequestBBSWrite
25 RequestCreatePledge
26 RequestJoinPledge
27 RequestAnswerJoinPledge
28 RequestWithDrawalPledge
29 RequestOustPledgeMember
2B RequestLogin
2C RequestGetItemFromPet
2E RequestAllyInfo
2F RequestCrystallizeItem
30 RequestPrivateStoreSellManageList
31 SetPrivateStoreSellList
33 RequestTeleport
34 SocialAction
35 ChangeMoveType
36 ChangeWaitType
37 RequestSellItem
38 UserAck
39 RequestMagicSkillUse
3A SendAppearing
3B SendWareHouseDepositList
3C SendWareHouseWithdrawList
3D RequestShortCutReg
3E RequestShortCutUse
3F RequestShortCutDel
40 RequestBuyItem
41 RequestDismissPledge
42 RequestJoinParty
43 RequestAnswerJoinParty
44 RequestWithDrawalParty
45 RequestOustPartyMember
46 RequestDismissParty
47 CanNotMoveAnymore
48 RequestTargetCancel
49 Say2
4D RequestPledgeMemberList
4F RequestMagicList
50 RequestSkillList
52 MoveWithDelta
53 GetOnVehicle
54 GetOffVehicle
55 AnswerTradeRequest
56 RequestActionUse
57 RequestRestart
58 RequestSiegeInfo
59 ValidateLocation
5A RequestSEKCustom
5B StartRotating
5C FinishRotating
5E RequestShowboard
5F RequestEnchantItem
60 RequestDestroyItem
62 RequestQuestList
63 RequestDestroyQuest
65 RequestPledgeInfo
66 RequestPledgeExtendedInfo
67 RequestPledgeCrest
69 RequestSurrenderPersonally
6A RequestFriendInfoList
6B RequestSendL2FriendSay
6C RequestOpenMinimap
6D RequestSendMsnChatLog
6E RequestReload
6F RequestHennaEquip
70 RequestHennaUnequipList
71 RequestHennaUnequipInfo
72 RequestHennaUnequip
73 RequestAcquireSkillInfo
74 SendBypassBuildCmd
75 MoveToLocationInVehicle
76 CanNotMoveAnymore(Vehicle)
77 RequestFriendInvite
78 RequestFriendAddReply
7A RequestFriendDel
7B RequestCharacterRestore
7C RequestAcquireSkill
7D RequestRestartPoint
7E RequestGMCommand
7F RequestListPartyWaiting
80 RequestManagePartyRoom
81 RequestJoinPartyRoom
83 SendPrivateStoreBuyList
84 RequestReviveReply
85 RequestTutorialLinkHtml
86 RequestTutorialPassCmdToServer
87 RequestTutorialQuestionMarkPressed
